"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"LaSalle Bank","$760000",""," Jeff Donarski ","No Revolving Door Profiles","Non Former Members of Congress"
"LaSalle Bank","$760000",""," Stuart Goodpasture ","No Revolving Door Profiles","Non Former Members of Congress"
"LaSalle Bank","$760000",""," Robert L Hamlin ","No Revolving Door Profiles","Non Former Members of Congress"
"LaSalle Bank","$760000",""," Casey Carter Paul ","No Revolving Door Profiles","Non Former Members of Congress"
"Lotstein Buckman","$300000","ABN AMRO Mortgage Group"," Robert Lotstein ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$140000","Chicago Deferred Exchange Corp"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$140000","Chicago Deferred Exchange Corp"," Christopher Hatcher ","Revolving Door Profiles","Non Former Members of Congress"
