"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Community Bankers Assn of Illinois","$200000",""," David Schroeder ","No Revolving Door Profiles","Non Former Members of Congress"
"Hollier & Assoc","$240000","Independent Community Bankers of America"," William Hollier ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Chris Cole ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Brian Cooney ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Elizabeth Eurgubian ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," John Hand ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Walter Haynie ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," James A Keller ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," James Kendrick ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," David Lynch ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Renee L Rappaport ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Aaron Stetter ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$5310000",""," Leigh III Whaley ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Bryan Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Lauren Wilson ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Timothy R Rupli & Assoc","$730000","Independent Community Bankers of America"," Timothy R Rupli ","Revolving Door Profiles","Non Former Members of Congress"
